Hovedtype;Prosedyrekategori;Hovedtypegruppe;Hovedtypenavn;HTGKode;Kode
0;0;A;;0-A;0A-0-0
01;0;A;kystvann;0-A;0A-0-01
02;0;A;atlantisk vann;0-A;0A-0-02
03;0;A;intermediært vann;0-A;0A-0-03
04;0;A;dyphavsvann;0-A;0A-0-04
05;0;A;arktisk vann;0-A;0A-0-05
0;0;B;;0-B;0B-0-0
01;0;B;tidevannsbetinget fullsirkulerende fjordvann;0-B;0B-0-01
02;0;B;øvre fjordvannlag med estuarin sirkulasjon;0-B;0B-0-02
03;0;B;stabilisert varmt intermediært fjordvann;0-B;0B-0-03
04;0;B;fjord-dypvann dannet fra atlantisk vann;0-B;0B-0-04
05;0;B;fjord-dypvann dannet fra kystvann;0-B;0B-0-05
06;0;B;stabilisert kaldt fjord-dypvann;0-B;0B-0-06
07;0;B;stabilisert iskaldt fjord-dypvann;0-B;0B-0-07
0;0;FS;;0-FS;0FS-0-0
01;0;FS;hardbunn i ferskvann;0-FS;0FS-0-01
02;0;FS;bløtbunn i ferskvann;0-FS;0FS-0-02
03;0;FS;levende ferskvannsplanter;0-FS;0FS-0-03
04;0;FS;levende ferskvannsdyr;0-FS;0FS-0-04
05;0;FS;dødt organisk materiale i ferskvann;0-FS;0FS-0-05
06;0;FS;syntetiske livsmedier i ferskvann;0-FS;0FS-0-06
0;0;FU;;0-FU;0FU-0-0
01;0;FU;substratfrie livsmedier i ferskvann;0-FU;0FU-0-01
0;0;MS;;0-MS;0MS-0-0
01;0;MS;hardbunn i marine systemer;0-MS;0MS-0-01
02;0;MS;bløtbunni marine systemer;0-MS;0MS-0-02
02;0;MS;bløtbunn i marine systemer;0-MS;0MS-0-02
03;0;MS;biogene karbonatsubstrater fra døde organismer i marine systemer;0-MS;0MS-0-03
04;0;MS;levende organismer med karbonatsubstrater i marine systemer;0-MS;0MS-0-04
05;0;MS;levende marine planter;0-MS;0MS-0-05
06;0;MS;levende marine dyr;0-MS;0MS-0-06
07;0;MS;dødt plantemateriale i marine systemer;0-MS;0MS-0-07
08;0;MS;døde dyr i marine systemer;0-MS;0MS-0-08
09;0;MS;syntetiske livsmedier i marine systemer;0-MS;0MS-0-09
0;0;MU;;0-MU;0MU-0-0
01;0;MU;substratfrie livsmedier i marine systemer;0-MU;0MU-0-01
0;0;TS;;0-TS;0TS-0-0
01;0;TS;grovere uorganiske substrater på land;0-TS;0TS-0-01
02;0;TS;finere uorganiske substrater på land;0-TS;0TS-0-02
03;0;TS;organisk jord;0-TS;0TS-0-03
04;0;TS;levende, ikke forvedete planter på land;0-TS;0TS-0-04
05;0;TS;bladverk, nåleverk og reproduktive deler av levende forvedete planter på land;0-TS;0TS-0-05
06;0;TS;ved-livsmedier;0-TS;0TS-0-06
07;0;TS;lav og markboende sopp;0-TS;0TS-0-07
08;0;TS;levende dyr og dyrebo;0-TS;0TS-0-08
09;0;TS;dødt plantemateriale;0-TS;0TS-0-09
10;0;TS;dødt animalsk materiale;0-TS;0TS-0-10
11;0;TS;dyremøkk og fuglegjødsel;0-TS;0TS-0-11
12;0;TS;syntetiske livsmedier på land;0-TS;0TS-0-12
0;0;TU;;0-TU;0TU-0-0
01;0;TU;snø og is på land;0-TU;0TU-0-01
02;0;TU;luft;0-TU;0TU-0-02
01;0;U;substratfrie livsmedier i ferskvann;0-U;0U-0-01
0;0;A;;BM-A;BA-0-0
01;0;A;brekappe;BM-A;BA-0-01
02;0;A;sammensatt bre;BM-A;BA-0-02
03;0;A;utløpsbre;BM-A;BA-0-03
04;0;A;dalbre;BM-A;BA-0-04
05;0;A;botnbre;BM-A;BA-0-05
06;0;A;dalsidebre;BM-A;BA-0-06
07;0;A;regenerert bre;BM-A;BA-0-07
08;0;A;isfonn;BM-A;BA-0-08
09;0;A;steinbre med bre-opphav;BM-A;BA-0-09
0;0;A;;EL-A;EA-0-0
01;0;A;elveløp i fast fjell med foss;EL-A;EA-0-01
02;0;A;elveløp i fast fjell uten foss;EL-A;EA-0-02
03;0;A;elveløp i karstfjell;EL-A;EA-0-03
0;0;B;;EL-B;EB-0-0
01;0;B;stein- og blokkdominert fluvialt elveløp med kaskade- eller trappetrinnsmorfologi;EL-B;EB-0-01
02;0;B;fluvialt elveløp med jevn, grus- og steindominert bunn;EL-B;EB-0-02
03;0;B;fluvialt elveløp med kulp-strykmorfologi;EL-B;EB-0-03
04;0;B;enkelt fluvialt elveløp med jevn, sand- og/eller finmaterialdominert bunn;EL-B;EB-0-04
0;0;C;;EL-C;EC-0-0
01;0;C;stein- og blokkdominert glasifluvialt elveløp med kaskade- eller trappetrinnsmorfologi;EL-C;EC-0-01
02;0;C;glasifluvialt elveløp med jevn, grus- og steindominert bunn;EL-C;EC-0-02
03;0;C;glasifluvialt elveløp med kulp-strykmorfologi;EL-C;EC-0-03
0;0;D;;EL-D;ED-0-0
01;0;D;elveløp gjennom leire;EL-D;ED-0-01
02;0;D;enkelt elveløp i torv;EL-D;ED-0-02
03;0;D;enkelt elveløp gjennom torv, med sedimentbunn;EL-D;ED-0-03
0;0;E;;EL-E;EE-0-0
01;0;E;elveprosesspreget kompleks elvemunning i innsjø;EL-E;EE-0-01
02;0;E;bølgeprosesspreget kompleks elvemunning i innsjø;EL-E;EE-0-02
03;0;E;bølgeprosesspreget kompleks elvemunning i saltvann;EL-E;EE-0-03
04;0;E;tidevannspreget elvemunning;EL-E;EE-0-04
0;0;F;;EL-F;EF-0-0
01;0;F;elveløp med klart endret hydromorfologi;EL-F;EF-0-01
0;0;G;;EL-G;EG-0-0
01;0;G;kunstige elveløp og elveløp med sterkt endret hydromorfologi;EL-G;EG-0-01
0;0;A;;FL-A;FA-0-0
01;0;A;breelvdelta;FL-A;FA-0-01
02;0;A;esker;FL-A;FA-0-02
03;0;A;gjel;FL-A;FA-0-03
04;0;A;kame;FL-A;FA-0-04
05;0;A;kameterrasse;FL-A;FA-0-05
06;0;A;sandur;FL-A;FA-0-06
07;0;A;bresjødelta;FL-A;FA-0-07
08;0;A;spylefelt;FL-A;FA-0-08
09;0;A;spylerenne;FL-A;FA-0-09
10;0;A;tunneldal;FL-A;FA-0-10
0;0;B;;FL-B;FB-0-0
01;0;B;korallrev;FL-B;FB-0-01
0;0;C;;FL-C;FC-0-0
01;0;C;flomkanal fra bresjøtapping;FL-C;FC-0-01
02;0;C;flombanke fra bresjøtapping;FL-C;FC-0-02
03;0;C;flomdyne fra bresjøtapping;FL-C;FC-0-03
04;0;C;oppskyllingsnivå fra bresjøtapping;FL-C;FC-0-04
05;0;C;bresjøstrandlinje;FL-C;FC-0-05
0;0;D;;FL-D;FD-0-0
01;0;D;elvebanke;FL-D;FD-0-01
02;0;D;elvedelta;FL-D;FD-0-02
03;0;D;meanderbue;FL-D;FD-0-03
04;0;D;ravine i bresjøsediment;FL-D;FD-0-04
05;0;D;leirravine;FL-D;FD-0-05
06;0;D;ravine i morene;FL-D;FD-0-06
07;0;D;elveskrent;FL-D;FD-0-07
08;0;D;elveslette;FL-D;FD-0-08
09;0;D;V-dal;FL-D;FD-0-09
10;0;D;elvevifte;FL-D;FD-0-10
11;0;D;elvevoll;FL-D;FD-0-11
0;0;E;;FL-E;FE-0-0
01;0;E;aksedal;FL-E;FE-0-01
02;0;E;forkastningsrygg;FL-E;FE-0-02
03;0;E;forkastningstrinn;FL-E;FE-0-03
04;0;E;sprekkekløft og sprekkedal;FL-E;FE-0-04
0;0;F;;FL-F;FF-0-0
01;0;F;iskile;FL-F;FF-0-01
02;0;F;pingo;FL-F;FF-0-02
03;0;F;steinbre;FL-F;FF-0-03
04;0;F;strukturmark;FL-F;FF-0-04
05;0;F;sigejordstunge;FL-F;FF-0-05
06;0;F;termokarst;FL-F;FF-0-06
0;0;G;;FL-G;FG-0-0
01;0;G;doline;FL-G;FG-0-01
02;0;G;karstgrotte;FL-G;FG-0-02
03;0;G;karstdekke;FL-G;FG-0-03
04;0;G;polje;FL-G;FG-0-04
05;0;G;sinterterrasse;FL-G;FG-0-05
06;0;G;sokkelstein;FL-G;FG-0-06
07;0;G;tafone;FL-G;FG-0-07
08;0;G;tor;FL-G;FG-0-08
0;0;H;;FL-H;FH-0-0
01;0;H;botn;FL-H;FH-0-01
02;0;H;de Geer-morene;FL-H;FH-0-02
03;0;H;dødisgrop;FL-H;FH-0-03
04;0;H;drumlin;FL-H;FH-0-04
05;0;H;egg;FL-H;FH-0-05
06;0;H;flyttblokk;FL-H;FH-0-06
07;0;H;flute;FL-H;FH-0-07
08;0;H;dalsidesva;FL-H;FH-0-08
09;0;H;fjord;FL-H;FH-0-09
10;0;H;glasitektonisk grop og haug;FL-H;FH-0-10
11;0;H;grunningssonekile;FL-H;FH-0-11
12;0;H;hengende dal;FL-H;FH-0-12
13;0;H;isfjellgrop;FL-H;FH-0-13
14;0;H;iskjernemorene;FL-H;FH-0-14
15;0;H;isfjellpløyespor;FL-H;FH-0-15
16;0;H;isskuringsstripe;FL-H;FH-0-16
17;0;H;jettegryte;FL-H;FH-0-17
18;0;H;knaus og hale;FL-H;FH-0-18
19;0;H;megaskala glasial lineasjon;FL-H;FH-0-19
20;0;H;morenehaug;FL-H;FH-0-20
21;0;H;murtoo-morene;FL-H;FH-0-21
22;0;H;plastisk form;FL-H;FH-0-22
23;0;H;randmorene;FL-H;FH-0-23
24;0;H;rogenmorene;FL-H;FH-0-24
25;0;H;rundsva;FL-H;FH-0-25
26;0;H;sprekkefyllrygg;FL-H;FH-0-26
27;0;H;tind;FL-H;FH-0-27
28;0;H;traumunningsvifte;FL-H;FH-0-28
29;0;H;U-dal;FL-H;FH-0-29
30;0;H;veikimorene;FL-H;FH-0-30
0;0;I;;FL-I;FI-0-0
01;0;I;brenningsgrotte;FL-I;FI-0-01
02;0;I;kystklippe;FL-I;FI-0-02
03;0;I;krumodde;FL-I;FI-0-03
04;0;I;kystrestfjell;FL-I;FI-0-04
05;0;I;leirslette;FL-I;FI-0-05
06;0;I;rauk;FL-I;FI-0-06
07;0;I;revle;FL-I;FI-0-07
08;0;I;strandflate;FL-I;FI-0-08
09;0;I;strandlinje;FL-I;FI-0-09
10;0;I;strandvoll;FL-I;FI-0-10
11;0;I;tidevannsslette;FL-I;FI-0-11
12;0;I;tombolo;FL-I;FI-0-12
0;0;J;;FL-J;FJ-0-0
01;0;J;benk;FL-J;FJ-0-01
02;0;J;cuesta;FL-J;FJ-0-02
03;0;J;hogback;FL-J;FJ-0-03
04;0;J;platåfjell;FL-J;FJ-0-04
0;0;K;;FL-K;FK-0-0
01;0;K;dekkerestfjell;FL-K;FK-0-01
02;0;K;foldeås;FL-K;FK-0-02
03;0;K;kalkrygg;FL-K;FK-0-03
0;0;L;;FL-L;FL-0-0
01;0;L;flomskredformer;FL-L;FL-0-01
02;0;L;fjellskredformer;FL-L;FL-0-02
03;0;L;jordpyramide;FL-L;FL-0-03
04;0;L;jordskredformer;FL-L;FL-0-04
05;0;L;leirskredgrop;FL-L;FL-0-05
06;0;L;steinsprangblokk;FL-L;FL-0-06
07;0;L;snøskredformer;FL-L;FL-0-07
08;0;L;talus;FL-L;FL-0-08
09;0;L;talusvoll;FL-L;FL-0-09
10;0;L;undersjøiske skredformer;FL-L;FL-0-10
0;0;M;;FL-M;FM-0-0
01;0;M;havbunnskanal;FL-M;FM-0-01
02;0;M;konturitt;FL-M;FM-0-02
03;0;M;havbunnssedimentbanke;FL-M;FM-0-03
04;0;M;strømgrop;FL-M;FM-0-04
05;0;M;sedimentbølge;FL-M;FM-0-05
06;0;M;havbunnsstrømrenne;FL-M;FM-0-06
07;0;M;havbunnsstrømningsspor;FL-M;FM-0-07
0;0;N;;FL-N;FN-0-0
01;0;N;diapir;FL-N;FN-0-01
02;0;N;gasshydrateksplosjonskrater;FL-N;FN-0-02
03;0;N;gasshydratpingo;FL-N;FN-0-03
04;0;N;pockmark;FL-N;FN-0-04
05;0;N;slamvulkan;FL-N;FN-0-05
0;0;O;;FL-O;FO-0-0
01;0;O;deflasjonsgrop;FL-O;FO-0-01
02;0;O;flygesanddyne;FL-O;FO-0-02
0;0;P;;FL-P;FP-0-0
01;0;P;hydrotermisk haug;FL-P;FP-0-01
02;0;P;hydrotermisk skorstein;FL-P;FP-0-02
03;0;P;lavastrøm;FL-P;FP-0-03
04;0;P;lavatunnel;FL-P;FP-0-04
05;0;P;undervannsfjell;FL-P;FP-0-05
06;0;P;vulkankjegle;FL-P;FP-0-06
07;0;P;vulkankrater;FL-P;FP-0-07
08;0;P;vulkanspalte;FL-P;FP-0-08
0;0;A;;IB-A;IA-0-0
01;0;A;basseng i avsnørt havbukt;IB-A;IA-0-01
02;0;A;basseng betinget av strukturgeologiske prosesser;IB-A;IA-0-02
0;0;B;;IB-B;IB-0-0
01;0;B;jord- og steinskredbasseng;IB-B;IB-0-01
02;0;B;leirskredbasseng;IB-B;IB-0-02
0;0;C;;IB-C;IC-0-0
01;0;C;basseng på bre;IB-C;IC-0-01
02;0;C;basseng med terskel av breis;IB-C;IC-0-02
0;0;D;;IB-D;ID-0-0
01;0;D;fjordsjøbasseng;IB-D;ID-0-01
02;0;D;U-dalsbasseng;IB-D;ID-0-02
03;0;D;skålbasseng;IB-D;ID-0-03
04;0;D;botnbasseng;IB-D;ID-0-04
05;0;D;løsmassedemt dalbasseng;IB-D;ID-0-05
06;0;D;torvdemt skålbasseng;IB-D;ID-0-06
0;0;E;;IB-E;IE-0-0
01;0;E;morenebasseng;IB-E;IE-0-01
02;0;E;basseng i breelv-sedimenter;IB-E;IE-0-02
0;0;F;;IB-F;IF-0-0
01;0;F;termokarst-basseng;IB-F;IF-0-01
02;0;F;pingo-basseng;IB-F;IF-0-02
0;0;G;;IB-G;IG-0-0
01;0;G;karstbasseng;IB-G;IG-0-01
02;0;G;kalkgrottebasseng;IB-G;IG-0-02
03;0;G;kalksinterbasseng;IB-G;IG-0-03
04;0;G;sprekkedal-basseng;IB-G;IG-0-04
0;0;H;;IB-H;IH-0-0
01;0;H;V-dalsbasseng;IB-H;IH-0-01
0;0;I;;IB-I;II-0-0
01;0;I;basseng avsnørt fra innsjø;IB-I;II-0-01
02;0;I;basseng avsnørt fra sideelv;IB-I;II-0-02
03;0;I;deltabankebasseng;IB-I;II-0-03
04;0;I;elveslettebasseng;IB-I;II-0-04
05;0;I;kroksjø-basseng;IB-I;II-0-05
06;0;I;innersving-basseng;IB-I;II-0-06
07;0;I;yttersving-basseng;IB-I;II-0-07
08;0;I;bakevje-basseng;IB-I;II-0-08
