;7 HTG;8 Pk;9 HT;Definisjonsgrunnlag;HTKode
572;M;A;01;[N] ;M-A-01
588;M;A;02;[N] ;M-A-02
609;M;A;03;[N] ;M-A-03
621;M;A;04;[N] ;M-A-04
634;M;A;05;[N] ;M-A-05
651;M;A;06;[N];M-A-06
683;M;B;01;[NS] ;M-B-01
689;M;B;02;[NS] ;M-B-02
692;M;B;03;[NS];M-B-03
695;M;C;01;SA_e(‒), TV_a ;M-C-01
701;M;C;02;SA_e(‒) ;M-C-02
715;M;C;03;TH_d ;M-C-03
720;M;C;04;SA_e(‒);M-C-04
731;M;C;05;GS_a ;M-C-05
737;M;C;06;KI_e;M-C-06
743;M;C;07;KI_e, JV_a;M-C-07
747;M;C;08;OM_b ;M-C-08
752;M;C;09;IT_A, IS_A;M-C-09
755;M;C;10;IT_A, IS_B;M-C-10
757;M;F;01;SA_e(‒) ;M-F-01
760;M;J;01;HH_b;M-J-01
762;M;M;01;[UK];M-M-01
769;M;M;02;[UK];M-M-02
773;L;A;01;[N] ;L-A-01
787;L;A;02;[N] ;L-A-02
820;L;A;03;[N] ;L-A-03
825;L;B;01;[NS] ;L-B-01
829;L;B;02;[NS];L-B-02
833;L;C;01;ST_E;L-C-01
839;L;C;02;ST_F;L-C-02
844;L;C;03;ST_G;L-C-03
847;L;C;04;OM_b ;L-C-04
855;L;C;05;IT_A;L-C-05
858;L;C;06;NG_b ;L-C-06
861;L;G;01;[K] ;L-G-01
864;L;J;01;HG_b ;L-J-01
866;L;M;01;MY_ABC;L-M-01
872;L;M;02;MY_D;L-M-02
877;L;M;03;MY_EF;L-M-03
882;L;M;04;[UK];L-M-04
888;L;M;05;[UK];L-M-05
897;O;A;01;[N] ;O-A-01
930;O;A;02;[N] ;O-A-02
952;O;B;01;[NS] ;O-B-01
955;O;C;01;KI_d;O-C-01
970;O;C;02;JV_a, KI_d ;O-C-02
980;O;C;03;ST_F;O-C-03
983;O;G;01;[K];O-G-01
985;O;M;01;[UK];O-M-01
991;O;M;02;[UK] ;O-M-02
997;T;A;01;[N] ;T-A-01
1079;T;A;02;[N] ;T-A-02
1089;T;A;03;[N] ;T-A-03
1106;T;A;04;[N] ;T-A-04
1110;T;B;01;[NS] ;T-B-01
1129;T;C;01;SA_b, TV_ijk ;T-C-01
1136;T;C;02;GS_a ;T-C-02
1146;T;C;03;UK, SA_b ;T-C-03
1158;T;C;04;[UK] SA_b, SF_b ;T-C-04
1161;T;C;05;UK, SA_b ;T-C-05
1168;T;C;06;NG_b, HF_c;T-C-06
1173;T;C;07;NG_b, VI_a;T-C-07
1175;T;C;08;SV_a ;T-C-08
1187;T;D;01;RU_d ;T-D-01
1200;T;D;02;PF_A, FU_b ;T-D-02
1203;T;D;03;RU_b ;T-D-03
1210;T;D;04;VS_b ;T-D-04
1216;T;D;05;Nb_b ;T-D-05
1219;T;D;06;VI_b ;T-D-06
1225;T;E;01;SSi(‒) ;T-E-01
1235;T;E;02;SU_b ;T-E-02
1239;T;E;03;VF_f, TV_i(‒) ;T-E-03
1246;T;E;04;OV_A, TV_h(‒), ;T-E-04
1249;T;E;05;OF_b ;T-E-05
1260;T;E;06;ST_J, TV_i(‒), SA_b ;T-E-06
1266;T;E;07;ST_J, TV_i(‒), SA_0a ;T-E-07
1268;T;E;08;VF_f, TV_i(‒) ;T-E-08
1273;T;E;09;IF_b ;T-E-09
1277;T;F;01;SS_k(‒) ;T-F-01
1280;T;F;02;VF_a ;T-F-02
1287;T;G;01;[K];T-G-01
1339;T;H;01;[K] ;T-H-01
1354;T;I;01;[K], MS_ABCDEFGH ;T-I-01
1365;T;K;01;HA_b, HH_b, HR_ABC ;T-K-01
1393;T;K;02;HR_ABC, HH_b, TV_k(‒), SA_b ;T-K-02
1397;T;K;03;HR_D, HA_y, HH_b, HM_0 ;T-K-03
1406;T;L;01;[K] ;T-L-01
1415;T;M;01;MT_AB ;T-M-01
1419;T;M;02;MT_CD ;T-M-02
1422;T;M;03;MT_EFGHIJ ;T-M-03
1431;T;M;04;MT_KL ;T-M-04
1434;T;M;05;MT_MN ;T-M-05
1437;T;M;06;MS_ABCIJ;T-M-06
1441;T;N;01;HM_y;T-N-01
1443;T;N;02;HM_c, HH_b ;T-N-02
1445;T;N;03;HM_d, HH_c;T-N-03
1447;T;O;01;HM_y, HH_y ;T-O-01
1449;T;O;02;HM_c, HH_b ;T-O-02
1451;T;O;03;HM_d, HH_c ;T-O-03
1456;T;O;04;HM_0ab, HG_c, HH_c ;T-O-04
1461;V;A;01;[N] ;V-A-01
1494;V;B;01;[NS] ;V-B-01
1505;V;C;01;VT_E;V-C-01
1513;V;C;02;[UK], KI_d;V-C-02
1519;V;C;03;[UK], KI_d;V-C-03
1525;V;C;04;SV_a;V-C-04
1540;V;C;05;PF_A ;V-C-05
1546;V;E;01;OF_b ;V-E-01
1549;V;F;01;VT_E;V-F-01
1551;V;F;02;VT_ABD;V-F-02
1555;V;G;01;K ;V-G-01
1559;V;G;02;K ;V-G-02
1563;V;I;01;K ;V-I-01
1568;V;K;01;K ;V-K-01
1572;V;K;02;K ;V-K-02
1577;V;M;01;MV_AB;V-M-01
1584;V;M;02;MV_CD;V-M-02
1586;V;M;03;MV_E;V-M-03
1588;V;M;04;MV_ABF;V-M-04
1592;V;M;05;MV_CD;V-M-05
1594;V;M;06;MV_E;V-M-06
1596;V;O;01;HT_c ;V-O-01
1599;I;A;01;[N] ;I-A-01
1605;S;A;01;[N, HV_ABE] ;S-A-01
1608;S;C;01;HV_BCDE, DL_z ;S-C-01
1611;S;C;02;TH_a, DL_abcde ;S-C-02
1617;S;C;03;TH_a, DL_z ;S-C-03
1619;S;C;04;OM_b;S-C-04
1622;S;C;05;TH_d;S-C-05
1625;S;C;06;HV_E, PI_AB, DL_e(‒) ;S-C-06
1628;S;C;07;TH_d, IT_A;S-C-07
1631;S;M;01;[K];S-M-01
1633;S;M;02;[K];S-M-02
1635;S;M;03;[K];S-M-03
1638;F;A;01;[N, HY_A] ;F-A-01
1645;F;A;02;[N, HY_B] ;F-A-02
1663;F;B;01;[NS, HY_A] ;F-B-01
1682;F;B;02;[NS, HY_B] ;F-B-02
1701;F;B;03;[NS, UK] ;F-B-03
1704;F;C;01;TU_a;F-C-01
1708;F;C;02;GS_b ;F-C-02
1710;F;C;03;NG_b ;F-C-03
1713;F;C;04;OM_b ;F-C-04
1720;F;C;05;IT_A;F-C-05
1723;F;M;01;[UK];F-M-01
1732;F;M;02;[UK] ;F-M-02
1737;F;M;03;[UK] ;F-M-03
1740;F;M;04;[UK] ;F-M-04
1742;F;M;05;[UK] ;F-M-05
1746;0;C;01;"JV & kI; OB2[O4]; TA3 [T3]";0-C-01
1747;0;C;02;"kI; OB1[O3]; OA2 [O3]";0-C-02
1748;0;C;03;"kI; Ob1[O2] & VC4 [V4 pp]; TB1 [T4] / (TA3 [T3] evt også VC5 [V6]B";0-C-03
1749;0;C;04;"KI; VC3 [V4] & VA1 [V1]";0-C-04
1750;0;C;05;"KI; VC4 [V4 pp]; TB1 [T4] / (TA3 [T3] evt også VC5 [V6])";0-C-05
1751;0;C;06;"NG; TC6 [T8]; TA1 [T1]";0-C-06
1752;0;C;07;"SF; TC4 [T11]; TC5 [T12], evt. også MB3 [M8]";0-C-07
1753;0;C;08;"SV; TC8 [T7]; TA1 [T1] / TF1 [T25 etc.] / VC5 [V6]";0-C-08
1755;0;D;01;"FU; TD2 [T13 pp.]; OA2 [O2]";0-D-01
1756;0;D;02;"RU; TD1 [T13]; TD3 [T16] / (TB1 [T4] / TA3 [T3], evt. også LF1 [L11] el. OF1 [O5])";0-D-02
1757;0;D;03;"VS; RD4 [T15]; TA1 [T1] / (TB1 [T4] / TA3 [T3])";0-D-03
1759;0;E;01;"SS; TE1 [T21]; TB1 [T4], evt. også TC3 [sandforstrand] og TF01 [sand- og dyneskogsmark]";0-E-01
1760;0;E;02;"SU; TE4 [T19]; (TB1 [T4] / TA3 [T3], evt. også LF1 [L11] el. OF1 [O5])";0-E-02
1761;0;E;03;"VF; TE3 [T18]; TE8 [T18 pp.] / TG1 [T30]";0-E-03
